program,code,company,platform,indication,nct,phase,setting,n,combo,primary_endpoint,result,immune_response,grade3_ae,discontinuation,data_cutoff,next_readout,status,why_stopped,rid,source_agent
셀리드 HPV 치료백신,BVAC-E6E7,셀리드 (Cellid),"B세포·단구 기반 세포치료 백신 (공유항원 HPV E6/E7, 개인맞춤 아님)",HPV 관련 암,NCT06797986,1/2a상,치료,미공개,미공개,미공개,미공개,미공개,미공개,미공개,2026-08-06,미공개,진행(RECRUITING),해당없음,R450,A4
아리바이오랩 mRNA 면역항암제,CTRNA-001,아리바이오랩,"mRNA-LNP (종양미세환경 면역세포 활성화, 개인맞춤 아님)",고형암,미등록,전임상 (2026년 KDDF 신규지원 과제 선정),치료,미공개,미공개,미공개,미공개,미공개,미공개,미공개,2026-06-30,미공개,진행(전임상),해당없음,R456,A4
AST-021p 진행성 고형암,AST-021p,애스톤사이언스 (Aston Sci.),미공개,진행성 고형암,NCT04864418,1상,진행성 고형암,22,미공개,미공개,미공개,미공개,미공개,미공개,2026-08-06,해당없음,완료 (1차완료 2023-11-02),해당없음,R405,A4
AST-201 난소암 치료백신,AST-201 (pUMVC3-hIGFBP-2),애스톤사이언스 (Aston Sci.),플라스미드 DNA 백신 (IGFBP-2 공유항원),난소암 (HR-proficient),NCT05794659,2상,"보조요법(adjuvant), 무작위 위약대조 + 화학요법",98 (목표),화학요법 + 위약 대조,미공개,미공개,미공개,미공개,미공개,2026-08-06,미공개 (언론은 2027년 주장),"진행 지연 (NOT_YET_RECRUITING, 등록상 1차완료일 2025-11-15 경과)",해당없음 (개시 지연 또는 등록정보 미갱신),R407,A4
AST-301 위암 치료백신,AST-301 (pNGVL3-hICD),애스톤사이언스 (Aston Sci.),플라스미드 DNA 백신 (HER2 ICD 공유항원),HER2 발현 위암,NCT05771584,2상,치료 (미국·호주·대만 다국가),24,미공개,미공개,미공개,미공개,미공개,미공개,2026-08-06,등록상 1차완료 2027-02-09 (언론은 2026년 하반기 1차평가변수 발표 주장 - 레지스트리와 불일치),진행 (ACTIVE_NOT_RECRUITING),해당없음,R406,A4
PAVE / NeoVax-K 환자 맞춤형 항암백신 개발 최적화 플랫폼,PAVE,애스톤사이언스(주관)·테라젠바이오·아이엠비디엑스·진에딧·고려대 안암병원,개인맞춤형 신항원 mRNA-LNP (WES/AI 예측 + 비-LNP 고분자 전달체 병행),"췌장암(1차), CMS4형 대장암·소아청소년암(2차)",미등록,전임상/플랫폼 구축,치료 및 재발 방지,미공개,미공개,검체채취 후 6~8주 이내 신항원 발굴·제조·투여 플랫폼 구축(과제 KPI),"미공개 (2025년 7월 착수, 결과 없음)",미공개,미공개,미공개,2026-08-06,미공개,진행,해당없음,R400,A4
진원생명과학 개인맞춤형 항암 핵산 백신,미공개,"진원생명과학(GeneOne Life Science, 코스닥 011000) / 자회사 VGXI",DNA 및 mRNA 기반 핵산 백신,미공개,미등록,후보물질 미공개 (전략 선언 단계),미공개,미공개,미공개,미공개,미공개,미공개,미공개,미공개,2026-08-06,미공개,"진행(전략 선언), 자산 실체 미확인","해당없음 (단, 물적 기반인 VGXI는 2026년 상반기 CDMO 생산 중단·매출 0원)",R423,A4
한국비엠아이-아이진 컨소시엄 sa-mRNA 코로나19 백신,BMI2012주,한국비엠아이·아이진·메디치바이오·알엔에이진·마이크로유니,자가증폭 sa-mRNA + 양이온성 리포좀 전달체,COVID-19 변이 예방,미등록(CT.gov),1상,예방,미공개,단독,미공개,미공개,미공개,미공개,미공개,2026-08-06,2027-03 목표 (1상 완료 + 2상 IND 승인),진행 (질병청 팬데믹 대비 mRNA 임상1상 지원사업 선정),해당없음,R442,A4
한미약품 STING mRNA 항암 신약,HM99462,한미약품,"mRNA-LNP (STING 단백질 직접 발현, 전신 투여 설계, 개인맞춤 아님)",고형암 (대장암 동물모델),미등록,전임상,치료,미공개(동물모델),복수 항암제 병용 시너지 탐색,미공개,대장암 동물모델 종양억제 확인 (정량 수치 미공개),미공개,미공개,미공개,2026-04-22 (AACR 2026),미공개,진행(전임상),해당없음,R435,A4
한미약품 p53 mRNA 항암 신약,HM99130,한미약품,"mRNA-LNP (p53 종양억제 단백질 발현, 개인맞춤 아님)",폐암·난소암 (동소이식 모델),미등록,전임상,치료,미공개(동물모델),"탁솔계 화학요법, 아브락산 병용",미공개,폐암·난소암 동소이식 모델 성장 억제 및 병용 시너지 (정량 수치 미공개),미공개,미공개,미공개,2026-04-22 (AACR 2026),미공개,진행(전임상),해당없음,R436,A4
ATL001 클론성 신항원 T세포 (cNeT) — NSCLC,ATX-NS-001 / CHIRON,Achilles Therapeutics UK Limited,클론성(트렁크) 신항원 특이 TIL,진행성 절제불가/전이성 NSCLC,NCT04032847,1/2,진행성,27 (ACTUAL),단독 또는 ICI,안전성/내약성,상업적 성립 목표 미충족,미공개,미공개,미공개,미공개,없음,중단(Sponsor decision) + 회사 청산(2025-03-20 청산인 선임),Sponsor decision,R507,A5
ATL001 클론성 신항원 T세포 (cNeT) — 흑색종,ATX-ME-001 / THETIS,Achilles Therapeutics UK Limited,클론성(트렁크) 신항원 특이 TIL,전이성/재발 흑색종,NCT03997474,1/2,진행성,13 (ACTUAL),단독 또는 ICI,안전성/내약성,일부 임상활성 있으나 상업적 성립 목표 미충족,미공개,미공개,미공개,미공개,없음,중단(Sponsor decision),Sponsor decision; 2024-09-19 전략 업데이트에서 '폐암·흑색종 연구가 상업적 성립 목표 미충족' 명시,R507,A5
cNeT (Achilles),ATL001,Achilles Therapeutics plc,(1) 개인맞춤형 신항원 - clonal 신항원 반응성 자가 T세포(TRACERx 기반). 백신 아님,"비소세포폐암, 흑색종",미공개 (본 조사에서 NCT 미확인),1/2상,진행성,미공개,미공개,미공개,미공개,미공개,미공개,미공개,미공개,해당없음,실패 (회사 청산),"2025-02-28 나스닥 자진 상장폐지 및 SEC 등록해지 발표, 2025-03-20 주주총회에서 자발적 청산(members' voluntary liquidation) 착수",R337,A3
ADXS-NEO,ADXS-NEO,"Advaxis, Inc.",(1) 개인맞춤형 신항원 - 약독화 Listeria monocytogenes 벡터. mRNA 아님,"진행성/전이성 고형암 (대장암, 두경부암, NSCLC, 요로상피암, 흑색종)",NCT03265080,1상 (용량증량),진행성/전이성,13 (ACTUAL),단독 및 pembrolizumab 병용,"TEAE 발생, 최대내약용량",미공개,미공개,미공개,미공개,2019-10-24 (1차 완료),해당없음,중단(TERMINATED),'Business decision',R335,A3
AutoSynVax (ASV) 개인맞춤 합성 신항원 백신,ASV,Agenus Inc.,합성 신항원 + 열충격단백질 gp96 샤페론,진행성 고형암,NCT02992977,1,진행성,3 (ACTUAL),단독,안전성/내약성,미공개,미공개,미공개,미공개,미공개,없음,중단(개선판 개발 위해 종료),To enable development of an enhanced version of the vaccine (개선판은 임상 진입 확인되지 않음),R511,A5
신항원 TCR-T (TCR001-201),TCR001-201 / TCR001-002,Alaunos Therapeutics,Sleeping Beauty 기반 신항원 특이 TCR-T,"부인암, 대장암, 췌장암, NSCLC, 담도암 등",NCT05194735,1/2,진행성,"8 (ACTUAL, 동반 스크리닝 연구 NCT05124743 19명)",단독,안전성,미공개,미공개,미공개,미공개,미공개,없음,중단(Funding / business decisions),Funding; 모프로토콜 TCR001-201이 사업적 결정으로 종료,R514,A5
"Vitespen (Oncophage, HSPPC-96) 보조요법",C-100-12,Antigenics (현 Agenus Inc.),환자 자가 종양 유래 열충격단백질-펩타이드 복합체 (완전 개인맞춤),절제 후 고위험 국소진행 신세포암,NCT00033904,3,보조요법,818 무작위 (ITT 728: vitespen 361 / 관찰 367),단독 (관찰 대조),Recurrence-Free Survival,"실패 — 재발 136 (37.7%) vs 146, p=0.506; 사망 70 vs 72, p=0.896",미공개,치료관련 3-4등급 AE 0건,미공개,중앙추적 1.9년 (IQR 0.9-2.5),없음,실패(1차평가변수 미달성),해당 없음,R533,A5
PROSTVAC-V/F ± GM-CSF (PROSPECT),PROSPECT,Bavarian Nordic,폭스바이러스 벡터 PSA 백신 (공유항원),무증상/최소증상 전이성 거세저항성 전립선암,NCT01322490,3,전이성,"1,297 (V 432 / VG 432 / 위약 433)",GM-CSF (VG군),Overall Survival,"실패 — OS HR 1.02 (95% CI 0.86-1.22), p=0.59; mOS 34.4 vs 33.2 vs 34.3개월; 6개월 AWE 29.4% / 28.0% / 30.3%",미공개,치료관련 중대 AE <1%,미공개,3차 중간분석,없음,실패(3차 중간분석 무익성 중단),무익성 기준 충족,R530,A5
BNT112 (PRO-MERIT),BNT112,BioNTech SE,"(3) TAA 백신 - mRNA-리포플렉스 (W_pro1, 전립선 항원). 개인맞춤형 아님",전이성 거세저항성 전립선암 (mCRPC) 및 국소 전립선암,NCT04382898,1/2상,진행성 및 국소,75 (ACTUAL),단독 및 cemiplimab 병용,"DLT, TEAE, Part2 Arm1a/1b ORR",미공개 (결과 등재되어 있으나 공개 요약 부재),미공개,미공개,미공개,2024-01-23,해당없음,"중단(TERMINATED, 2024-01-23)",'Sponsor decision' — 안전성 사유 아님. 2025년 11월 BioNTech 파이프라인 문서에서 완전 삭제,R303,A3+A5
BNT111,BNT111 (FixVac),BioNTech SE (Regeneron 협력),"(3) TAA 백신 - mRNA-리포플렉스 정맥투여, 공유 항원 4종(NY-ESO-1/MAGE-A3/tyrosinase/TPTE). 개인맞춤형 아님","진행성 흑색종 (anti-PD-(L)1 불응/재발, 절제불가 3/4기)",NCT04526899,2상,진행성/전이성,184 (ACTUAL),cemiplimab 병용 / BNT111 단독 / cemiplimab 단독 3군,"Arm1(병용) ORR (BICR, RECIST v1.1) - 역사적 대조 10% 대비","ORR 18.0% (95% CI 10.64-27.55). 2차 보도 기준 CR 11.7%, DCR 55.3%, 중앙 PFS 3.1개월, 중앙 OS 20.7개월(신뢰도 하)",미공개,"미공개 (등록부 AE 모듈: 병용군 중대이상반응 30명, 기타 89명)",미공개,1차 완료 2024-01-25,최종 결과 게시 시 2차 지표 등재 예정,"완료 (2025-11-24) — 단, 해당 세팅 추가 개발 중단",1차 평가변수 충족에도 BioNTech가 '이 후기·불응성 세팅에서 추가 임상 계획 없음'이라고 발표(2025-10 ESMO),R300,A3
NEO-PV-01 개인맞춤 펩타이드 백신,NT-002,BioNTech US Inc. (구 Neon Therapeutics),합성 롱펩타이드 개인맞춤 신항원 + poly-ICLC,전이성 흑색종,NCT03597282,1,진행성,22 (ACTUAL),nivolumab + APX005M 또는 ipilimumab,안전성,"미공개 (선행 NT-001 1b상: NSCLC/방광암 mPFS 각 5.6개월, 단일군)",미공개,NT-001 82명 분석에서 치료관련 SAE 0건,미공개,미공개,없음,중단(등록 부진 + COVID-19),Closed due to historically slow enrollment compounded by the COVID-19 pandemic; Neon은 2019-11 구조조정에서 NEO-PV-01 개발 포기,R510,A5
GVAX 전립선 면역치료 (VITAL-1),VITAL-1,Cell Genesys (Takeda 협력),동종 GM-CSF 분비 종양세포 백신,무증상 전이성 호르몬불응성 전립선암,NCT00089856,3,전이성,626 (2007년 완전등록),docetaxel 대조,Overall Survival,실패 — 비계획 무익성 분석에서 1차평가변수 달성 확률 30% 미만,미공개,미공개,미공개,2008-10,없음,실패/중단(무익성),무익성 분석 결과; 회사는 이후 인력 75% 감축,R534,A5
GVAX 전립선 면역치료 (VITAL-2),VITAL-2,Cell Genesys (Takeda 협력),동종 GM-CSF 분비 종양세포 백신,진행성 호르몬불응성 전립선암,NCT00133224,3,전이성,408 (계획 대비 조기 중단),docetaxel (대조군은 docetaxel + prednisone),Overall Survival,실패 및 사망 불균형 — 총 114건 사망 중 GVAX+docetaxel 67건 대 대조 47건,미공개,미공개,미공개,2008-08 IDMC 검토,없음,실패/중단(IDMC 권고),Accrual and treatment with CG1940/CG8711 stopped due to IDMC recommendation (사망 불균형),R534,A5
Rindopepimut (Rintega) + temozolomide (ACT IV),ACT IV,"Celldex Therapeutics, Inc.",EGFRvIII 펩타이드 접합 백신 (종양특이 공유 신항원),신규 진단 EGFRvIII 발현 교모세포종,NCT01480479,3,신규 진단,745 (rindopepimut 371 / 대조 374),temozolomide,Overall Survival (MRD군),"실패 — mOS 20.1 vs 20.0개월, HR 1.01 (95% CI 0.79-1.30), p=0.93",미공개,혈소판감소 9% vs 6%; AE 사망 9(4%) vs 7(3%),미공개,최종분석,없음,실패(무익성으로 조기 종료),사전계획 중간분석에서 무익성,R529,A5
CVHNLC + pembrolizumab,CV09070101 / CVHNLC,CureVac (BioNTech 인수 진행 중),(3) TAA 백신 - mRNA. 개인맞춤형 아님,편평 비소세포폐암 (sqNSCLC),NCT07073183,1상,진행성,0 (ACTUAL),pembrolizumab 병용,TRAE/TEAE/SAE/AESI/irAE 발생 및 DLT,해당없음 (등록 0명),해당없음,해당없음,해당없음,해당없음,해당없음,"중단(WITHDRAWN, 2026-05-29)",'21 CFR 312.38에 따라 IND No. 031346 자진 철회' — CVHNLC 프로그램 미추진 전략 결정,R332,A3+A5
ELI-002 7P (AMPLIFY-7P),ELI-002 7P,Elicio Therapeutics,"(2) off-the-shelf 공유 신항원 - Amph-펩타이드 7종(mKRAS) + Amph-CpG-7909 어쥬번트, 피하 투여, 림프절 표적화",mKRAS 양성 췌관선암 (표준요법 완료 후 재발 고위험) 및 기타 KRAS/NRAS 변이 고형암,NCT05726864,1/2상 (2상 무작위),수술 후 보조요법 (MRD),"158 (ACTUAL 등록); 2상 무작위 144명, R0 하위군 121명",단독 vs 표준치료(관찰),1상: 안전성 / 2상: 무병생존(DFS) vs 관찰,"ITT DFS 1차 평가변수 미충족. 사후 R0 하위군 HR 0.65, p=0.048, 중앙 DFS 23.8 vs 12.8개월. 3개월 랜드마크 DFS 90.3% vs 76.6%(p=0.022), 6개월 75.7% vs 61.7%(p=0.056). 18개월 재발 절대 감소 9.5%p. OS 미성숙","mKRAS 특이 T세포 반응 평가 가능 환자의 99%; 반응 크기 층화(9.17배 기준) DFS HR 0.22, p<0.0001 (n=90, responder bias 위험)","미공개 (치료관련 중단·사망 0건, 관찰군보다 이상반응 비율 낮았다고 보고)",치료관련 중단 0건,2026-04-20 (1차 완료),OS 성숙 데이터; FDA End-of-Phase 2 미팅,"실패 (1차 평가변수 미충족, 2026-06-15 발표) — 시험 자체는 ACTIVE_NOT_RECRUITING",1차 평가변수 미충족. 회사는 저잔존질환 환자 대상 + 치료기간 연장으로 3상 재설계 방침,R323,A3
Autogene cevumeran + pembrolizumab (1차 치료 진행성 흑색종),BNT122 / RO7198457,"Genentech, Inc. (리드 스폰서) + BioNTech SE",uridine mRNA-lipoplex (RNA-LPX) 개인맞춤 신생항원,"이전 치료 경험 없는 진행성 흑색종, 1차 치료",NCT03815058,2상,"진행성/전이성, 1차 치료, 무작위 2:1","총 131명 (안전성 도입 6명 + 무작위 125명: 병용 84명, pembrolizumab 단독 41명; 교차투여 10명)",autogene cevumeran + pembrolizumab vs pembrolizumab 단독,"무진행생존(PFS), RECIST v1.1, 사건 기반","1차 평가변수 미충족. 중앙 PFS 8.3개월(95% CI 6.9-26.9) vs 7.9개월(95% CI 2.8-22.7), HR 0.79 (95% CI 0.49-1.27), log-rank p=0.3284. ORR 41.7%(95% CI 30.53-52.80) vs 48.8%(95% CI 32.26-65.30) — 병용군이 수치상 낮음. 중앙 OS 62.2개월(95% CI 41.8-NA) vs 미도달(95% CI 19.6-NA). ESMO 2025 초록 954P: HR 0.78, p=0.3061, 중앙 추적 30.5개월",신생항원 특이 면역반응이 치료 종료 후 최대 1.5년 지속; 면역반응의 폭이 병용군 PFS와 상관 (사후 탐색적 분석),"미공개 (중대이상반응 병용 25/80, 단독 16/44)",이상반응에 의한 중단율 미공개; 전원인 사망 병용 30/80(37.5%) vs 단독 14/44(31.8%) (추적 최대 약 63개월),ESMO 초록 2024-05-30; 등록정보 최종 결과 제출 2026-01-14,"없음 (CT.gov 결과 미게시, 저널 논문 미확인)",실패 (1차 평가변수 미충족) / 시험은 2025-01-21 완료,해당 없음 (계획대로 완료). 실패 후 BioNTech은 보조요법·MRD 세팅으로 전략 전환 명시,R224,A2+A5
진행성 고형암 1상 (단독 및 atezolizumab 병용),BNT122 / RO7198457 (GO39733),"Genentech, Inc. (리드 스폰서) + BioNTech SE",uridine mRNA-lipoplex (RNA-LPX) 개인맞춤 신생항원 (최대 20개),"국소진행성 또는 전이성 고형암 (흑색종, NSCLC, 방광암, 대장암, TNBC, 신세포암, 두경부암 등)",NCT03289962,1상 (1a 단독 / 1b 병용),"진행성/전이성, 기치료 환자","등록 273명 (논문 분석 대상: 단독 30명, atezolizumab 병용 183명)",단독요법 또는 atezolizumab (항 PD-L1) 병용,"안전성·내약성 (용량제한독성, MTD/RP2D, 이상반응)","단독 ORR 3.3% (30명 중 위암 CR 1명). 병용 확장 코호트 ORR: CPI 미치료 흑색종 33.3%, 신세포암 33.3%, 요로상피암 18.2%, NSCLC 10.0%, CPI 기치료 NSCLC 3.6%. AACR 2020 중간: 평가가능 108명 중 반응 9명(ORR 8%), 안정병변 53명(49%). 면역원성 71%, 최대 23개월 지속","71% (CD4+ 및/또는 CD8+ 신생항원 특이). 신생항원 특이 CD8+ T세포가 순환 CD8+의 중앙 7.3%, 최대 23%. 종양침윤 T세포의 최대 7.2%","3등급 이상 TRAE 병용 17.5%(32/183), 단독 10.0%(3/30); 4-5등급 1.6%","TRAE로 인한 치료 중단 병용 6.0%(11/183), 단독 0명. 7주차 이전 질병 진행 조기 중단: 단독 30.0%(9/30), 병용 25.7%(47/183)",Nature Medicine 2025-01-06 게재 (비사전계획 중간분석),없음 (완료). 등록정보에 결과 미게시(hasResults=false),완료 (2025-07-01) — 효능 관점에서는 실패에 가까운 결과,해당 없음 (계획대로 완료),R231,A2+A5
GEN-009,GEN-009,"Genocea Biosciences, Inc.",(1) 개인맞춤형 신항원 - 어쥬번트 펩타이드 백신 (ATLAS 생물학적 스크리닝),고형암,NCT03633110,1/2상,진행성 및 보조,24 (ACTUAL),단독 및 항PD-1 병용,안전성·내약성·면역원성·항종양 활성,미공개 (등록부),미공개,미공개,미공개,미공개,해당없음,완료 — 이후 회사 폐업으로 개발 종료,회사가 GEN-011 세포치료로 피벗 후 2022년 폐업,R370,A3
GEN-011 (ATLAS 기반 신항원 표적 말초 T세포) TiTAN-1,GEN-011,"Genocea Biosciences, Inc.",(1) 개인맞춤형 신항원 - 자가 말초혈 유래 신항원 표적 T세포 치료(ATLAS 스크리닝). 백신 아님,"흑색종, NSCLC, 두경부암, 요로상피암, 신세포암 등 다수",NCT04596033,1상,진행성/전이성,49 (ACTUAL),IL-2 (다회 저용량군) / 림프구제거 후 단회 고용량,"안전성, 증식, 지속성",5명 대상 초기 항종양 활성 보고 후 종료,미공개,미공개,미공개,2022-06-27,해당없음,"중단(TERMINATED, 2022-06-27)","Business reasons; 회사는 2022-05-24 wind down 결의, 2022-07 Chapter 11",R334,A3+A5
MAGE-A3 항원특이 면역치료제 (MAGRIT),MAGRIT,GlaxoSmithKline Biologicals SA,재조합 MAGE-A3 단백질 + AS15 면역증강제 (공유항원),절제 IB-IIIA기 MAGE-A3 양성 NSCLC,NCT00480025,3,보조요법,"2,312 무작위 (백신 1,515 / 위약 757)",단독 (보조 항암화학요법 유무),Disease-Free Survival (3개 공동 목표),"실패 — mDFS 60.5 vs 57.9개월, HR 1.02 (95% CI 0.89-1.18), p=0.74; 무화학요법군 HR 0.97 (0.80-1.18), p=0.76; 예측 유전자 시그니처 도출 실패",미공개,16% (246/1515) vs 16% (122/757),미공개,중앙추적 38.1개월(백신)/39.5개월(위약),없음,"실패(1차평가변수 미달성, 개발 중단)",치료효과 부재로 NSCLC 개발 전면 중단,R528,A5
GRANITE (대장암 MRD 보조요법 2상),GRT-C901 / GRT-R902,Gritstone bio,(1) 개인맞춤형 신항원 - ChAd68 + samRNA,수술 절제 및 표준 보조화학요법 후 ctDNA 양성(MRD) 결장암,NCT05456165,2상 (무작위),수술 후 MRD 보조요법,0 (ACTUAL),면역관문억제제 병용 vs 관찰,ctDNA 50% 이상 감소 환자 비율 및 AE,해당없음 (등록 0명),해당없음,해당없음,해당없음,해당없음,해당없음,중단(reprioritization),'terminated due to reprioritization' — 자금 제약으로 가장 유망한 MRD 세팅을 시작조차 못 함,R322,A3+A5
IMcode004 보조요법 근침윤성 요로상피암 무작위 2상,BNT122 / RO7198457,Hoffmann-La Roche (리드 스폰서) + BioNTech SE,uridine mRNA-lipoplex (RNA-LPX) 개인맞춤 신생항원,"고위험 근침윤성 요로상피암(MIUC), 보조요법",NCT06534983,2상,"보조요법, 무작위 이중맹검(4중 맹검)",당초 362명 목표 → 2026-06 등록정보에서 62명으로 축소,autogene cevumeran + nivolumab vs nivolumab 단독 (480mg Q4W 1년),당초 연구자 평가 무병생존(INV-DFS) → 2026-06 '이상반응 발생 참여자 수'로 변경,효능 결과 없음 (중단). 2025-07-01~2025-08-25 안전성 사건으로 임상보류,미공개,미공개 (안전성 도입군 안전성 사건 내용 비공개),프로그램 자체 중단,2026-08-06,"잔여 62명 안전성 추적, PCD 2027-11-10 (당초 2028-11-06)","중단 (2026-03-10 BioNTech·Roche 중단 결정 공시; 등록정보는 2026-08-05자 ACTIVE_NOT_RECRUITING, TERMINATED 아님)","등록정보 원문(2025-07 임상보류): '안전성 도입군에서 관찰된 안전성 사건에 따른 임시 임상보류이며, 전면 조사 완료 및 규제기관의 변경 프로토콜 승인 시까지 유지'. 최종 중단 사유(2026-03 공시): '급속히 부상하는 치료 환경과 표준치료의 이동(rapidly emerging treatment landscape and shifting standard of care)'",R240,A2+A4
"Autogene cevumeran (RO7198457) + atezolizumab, 보조요법 NSCLC",RO7198457 NSCLC adjuvant,Hoffmann-La Roche / Genentech (BioNTech 협력),mRNA-LPX 개인맞춤 신항원 (최대 20종),절제 후 ctDNA 양성 II-III기 NSCLC,NCT04267237,2,"보조요법 (MRD, ctDNA 선별)",0 (개시 전 철회),atezolizumab,Disease-Free Survival (DFS),해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,없음,중단(Accrual timelines),Accrual timelines,R504,A5
"IO102-IO103 (Cylembio, IOB-013)",IO102-IO103,IO Biotech,(3) TAA 백신 - IDO 및 PD-L1 유래 펩타이드 면역조절 백신. 개인맞춤형 아님,진행성 흑색종 1차 치료,NCT05155254,3상,진행성 1차 치료,미공개 (본 조사에서 확정 N 미확보),pembrolizumab 병용 vs pembrolizumab 단독,무진행생존(PFS),"1차 평가변수 통계적 유의성 미달. 중앙 PFS 19.4개월 vs 11.0개월. PD-L1 음성 하위군 16.6 vs 3.0개월 (HR 0.54, 95% CI 0.35-0.85)",미공개,미공개 (pembrolizumab 대비 추가 전신독성 없음으로 보고),미공개,ESMO 2025 (2025-10),FDA 협의 후 방향 재설정,"실패 (1차 평가변수 미달, FDA가 BLA 제출 비권고)",1차 평가변수 통계적 유의성 미달,R338,A3
IMA901 + sunitinib (IMPRINT),IMPRINT,Immatics Biotechnologies,10종 종양연관 펩타이드 백신 + GM-CSF (공유항원),HLA-A*02 양성 전이성 신세포암 1차 치료,NCT01265901,3,1차 치료 전이성,339 (병용 204 / sunitinib 단독 135),sunitinib + GM-CSF + cyclophosphamide,Overall Survival,"실패 및 수치상 악화 — mOS 33.17개월 vs 도달안함, HR 1.34 (95% CI 0.96-1.86), p=0.087",불충분 (저자 명시),57% (116/202) vs 47% (62/132),미공개,중앙추적 33.27개월,없음,"실패(1차평가변수 미달성, 개발 중단)",저자 결론: 면역반응 크기 개선 없이는 추가 개발 부적절,R532,A5
Tecemotide (L-BLP25) 유지요법 (START),START,Merck KGaA,MUC1 리포펩타이드 백신 (공유항원),절제불가 3기 NSCLC (화학방사선 후),NCT00409188,3,유지요법,"1,513 무작위 (mITT 1,239: 백신 829 / 위약 410)",cyclophosphamide 전처치,Overall Survival,"실패 — mOS 25.6 vs 22.3개월, 보정 HR 0.88 (95% CI 0.75-1.03), p=0.123; 동시화학방사선 하위군만 HR 0.78 (0.64-0.95), p=0.016",미공개,"호흡곤란 5% vs 4%, CNS 전이 3% vs 1%",미공개,최종분석,없음,"실패(1차평가변수 미달성, 이후 프로그램 중단)",NCT01423760 whyStopped: '스폰서가 NSCLC tecemotide 프로그램 중단 결정',R531,A5
mRNA-5671 / V941 KRAS 백신,V941-001,Merck Sharp & Dohme (Moderna 협력),mRNA-LNP 공유 신항원 (KRAS hotspot),"KRAS 변이 NSCLC, 대장암, 췌장암",NCT03948763,1,진행성/전이성,70 (ACTUAL),pembrolizumab 또는 단독,DLT / AE 발생률,효능 데이터 미공개,미공개,미공개,미공개,1차완료 2022-08-25,없음,중단(Business Reasons),Business Reasons,R501,A5
"Intismeran autogene (mRNA-4157) + pembrolizumab, cutaneous SCC",V940 (intismeran autogene),Merck Sharp & Dohme LLC (Moderna 협업),"(1) 개인맞춤형 신항원 - mRNA-LNP, 최대 34개 신항원","절제가능 국소진행성 피부편평세포암 (LA cSCC), 선행보조 및 보조",NCT06295809,2/3 (적응형),선행보조 + 보조 ((neo)adjuvant),"46 (ACTUAL) — 최초 목표 1,012명 대비 4.5%","인티스메란 + 펨브롤리주맙 대 표준치료, 및 펨브롤리주맙 단독 (개방표지, 평가자 단일맹검)","무사건생존 (EFS, 최대 약 22개월)",미공개 — 46명 등록 상태로 종료되어 유효성 결과 없음,미공개,미공개,미공개 (개설 106개 기관 / 20개국 대비 46명 등록 = 기관당 0.43명),2026-03-05 (1차완료일 ACTUAL),없음 (종료),중단(사업적 사유 / Business reasons),"ClinicalTrials.gov whyStopped 필드 원문: 'Business reasons'. 등록부 버전 이력상 실질적 중단은 2025-01-28(RECRUITING→ACTIVE_NOT_RECRUITING, 동시에 1차완료예정일을 2029-04-30에서 2026-03-05로 3년 이상 단축)이며, 2026-03-25에 일시적으로 COMPLETED로 게시된 뒤 2026-05-06에 TERMINATED로 재분류됨. 업계지 ApexOnco(2025-10-13)는 동일 적응증에서 백본 펨브롤리주맙이 3상 KEYNOTE-630(450명)의 1차 평가변수 RFS를 충족하지 못한 것이 배경이라고 보도했으나 유료구독 벽으로 전문 미확인이며, 머크·모더나의 명시적 공식 성명은 확보되지 않음. 머크 FY2025 10-K는 V940의 2상 적응증 목록에서 피부편평세포암을 조용히 제외함",R135,A1+A3+A5
