nct,title,status,why_stopped,phase,enrollment,enrollment_type,allocation,masking,purpose,start,primary_completion,completion,first_posted,last_update,sponsor,collaborators,conditions,interventions,primary_outcome,countries,has_korea
NCT01970358,A Phase I Study With a Personalized NeoAntigen Cancer Vaccine in Melanoma,COMPLETED,,PHASE1,15,ACTUAL,NA,NONE,PREVENTION,2014-04,2015-09,2018-06,2013-10-28,2025-12-29,"Patrick Ott, MD, PhD",,Melanoma,Poly-ICLC; Peptides,Number of Participants Experiencing Clinical and/or Laboratory Dose-limiting Toxicities; Proportion of Participants for Whom Sequencing and Analysis Leads to Identification of at Least 10 Actionable Peptides to Initiate Vaccine Production,United States,
NCT01973322,"Vaccination With Autologous Dendritic Cells Loaded With Autologous Tumor Lysate or Homogenate Combined With Immunomodulating Radiotherapy and/or Preleukapheresis IFN-alfa in Patients With Metastatic Melanoma: a Randomized ""Proof-of-principle"" Phase II Study",COMPLETED,,PHASE2,34,ACTUAL,RANDOMIZED,NONE,TREATMENT,2013-10-08,2023-09-30,2024-06-20,2013-10-31,2025-01-09,Istituto Romagnolo per lo Studio dei Tumori Dino Amadori IRST S.r.l. IRCCS,,Malignant Melanoma of Skin Stage III; Malignant Melanoma of Skin Stage IV,arm 1: DC Vaccine + RT; arm 2: DC Vaccine + IFN-alfa; arm 3: both arm 1 and 2 + RT; arm 4: DC Vaccine,"Safety, tolerability and feasibility assessments; immune related Disease Control Rate (irDCR); immunologic efficacy",Italy,
NCT01995708,"CT7, MAGE-A3, and WT1 mRNA-electroporated Autologous Langerhans-type Dendritic Cells as Consolidation for Multiple Myeloma Patients Undergoing Autologous Stem Cell Transplantation",COMPLETED,,PHASE1,28,ACTUAL,RANDOMIZED,NONE,TREATMENT,2014-01-31,2022-06-20,2022-06-20,2013-11-26,2024-02-09,Memorial Sloan Kettering Cancer Center,,Multiple Myeloma,"CT7, MAGE-A3, and WT1 mRNA-electroporated Langerhans cells ( LCs); Standard of care",Number of Participants Evaluated for Vaccine Safety,United States,
NCT01998542,Safety and Tolerability Study of AlloVax(TM) in Patients With Metastatic or Recurrent Cancer of the Head and Neck,COMPLETED,,PHASE2,12,ACTUAL,NA,NONE,TREATMENT,2016-01,2017-06-01,2017-11,2013-11-29,2020-01-23,"Mirror Biologics, Inc.",,Cancer of Head and Neck; Squamous Cell Carcinoma of the Head and Neck,AlloVax; CRCL; AlloStim,Tumor Response,Thailand,
NCT02019745,Effects of Tobacco Products on Live Attenuated Influenza Virus (LAIV) Infections in Human Volunteers,COMPLETED,,,62,ACTUAL,,,,2014-06,2016-06,2016-06,2013-12-24,2018-04-04,"University of North Carolina, Chapel Hill","National Institutes of Health (NIH); National Heart, Lung, and Blood Institute (NHLBI); Food and Drug Administration (FDA); Tobacco Centers of Regulatory Science (TCORS","Influenza, Human; Smoking; Respiratory Tract Infections; Habits",LAIV,"Change in nasal responses of nonsmokers (NS), cigarette smokers (CS), e-cigarette smokers (EC), hookah smokers (HS), and Little Cigar smokers (LCS) to live attenuated influenza virus",United States,
NCT02035956,IVAC MUTANOME Phase I Clinical Trial,COMPLETED,,PHASE1,15,ACTUAL,NA,NONE,TREATMENT,2013-12,2017-02-14,2019-10,2014-01-14,2020-01-18,BioNTech RNA Pharmaceuticals GmbH,,Melanoma,"IVAC MUTANOME, RBL001/RBL002",Safety and tolerability of repetitive doses,Austria; Germany,
NCT02097849,Vaccination Response in Tecfidera-Treated Versus Interferon-Treated Participants With Relapsing Forms of Multiple Sclerosis.,COMPLETED,,PHASE2,71,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2015-02-28,2016-05-02,2016-05-02,2014-03-27,2017-06-02,Biogen,,Relapsing Forms of Multiple Sclerosis,dimethyl fumarate; tetanus diphtheria toxoids vaccine; 23-valent pneumococcal polysaccharide vaccine; meningococcal polysaccharide diphtheria conjugate vaccine (quadrivalent); non-pegylated interferon,Percentage of Tetanus Responders (≥ 2-Fold Rise) at Day 28 Compared to Prevaccination Level,United States,
NCT02149225,GAPVAC Phase I Trial in Newly Diagnosed Glioblastoma Patients,COMPLETED,,PHASE1,16,ACTUAL,NA,NONE,TREATMENT,2014-10,2018-06,2018-06,2014-05-29,2018-08-07,Immatics Biotechnologies GmbH,BioNTech SE; University Hospital Tuebingen; BCN Peptides; EU-funded GAPVAC Consortium,Glioblastoma,APVAC1 vaccine plus Poly-ICLC and GM-CSF; APVAC2 vaccine plus Poly-ICLC and GM-CSF,Safety profile of patient-tailored APVAC vaccines when administered with immunomodulators concurrent to maintenance TMZ cycles; Frequency of CD8 T cells specific for vaccinated APVAC peptides as measure of immunological response to and biological activity of the vaccine,Denmark; Germany; Netherlands; Spain; Switzerland,
NCT02285413,Platin-based Chemotherapeutics to Enhance Dendritic Cell Vaccine Efficacy in Melanoma Patients,COMPLETED,,PHASE2,54,ACTUAL,RANDOMIZED,NONE,TREATMENT,2011-02,2015-10,2016-04,2014-11-07,2016-05-04,Radboud University Medical Center,,Melanoma,DC vaccination; DC vaccination with cisplatinum,Immunogenicity: number of participants with KLH and/or tumor-specific antigens immune responses.; Feasibility: % of vaccines meeting the release criteria.,Netherlands,
NCT02301611,Phase IIB TL + YCWP + DC in Melanoma,COMPLETED,,PHASE2,187,ACTUAL,RANDOMIZED,TRIPLE,TREATMENT,2015-01,2022-05-11,2022-05-11,2014-11-26,2024-11-29,"Elios Therapeutics, LLC",LumaBridge,Melanoma,TLPLDC; Placebo,Disease Free Survival Assessment,United States,
NCT02316457,RNA-Immunotherapy of IVAC_W_bre1_uID and IVAC_M_uID,COMPLETED,,PHASE1,42,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2016-10,2020-05-13,2023-05-17,2014-12-15,2026-03-13,BioNTech SE,Seventh Framework Programme,Breast Cancer (Triple Negative Breast Cancer (TNBC)),IVAC_W_bre1_uID; IVAC_W_bre1_uID/IVAC_M_uID,Number of Adverse Events as a Measure of Safety and Tolerability of IVAC_W_bre1_uID; Number of Adverse Events as a Measure of Safety and Tolerability of IVAC_W_bre1_uID plus IVAC_M_uID,Germany; Sweden,
NCT02348320,Safety and Immunogenicity of a Personalized Polyepitope DNA Vaccine Strategy in Breast Cancer Patients With Persistent Triple-Negative Disease Following Neoadjuvant Chemotherapy,COMPLETED,,PHASE1,18,ACTUAL,NA,NONE,TREATMENT,2015-06-17,2020-03-12,2020-03-12,2015-01-28,2020-07-01,Washington University School of Medicine,Susan G. Komen Breast Cancer Foundation,Triple Negative Breast Cancer; Triple-Negative Breast Cancer; Triple Negative Breast Neoplasms,Personalized polyepitope DNA vaccine,"Safety of the personalized polyepitope DNA vaccine strategy, measured by both clinical observation and laboratory evaluation",United States,
NCT02366728,DC Migration Study for Newly-Diagnosed GBM,COMPLETED,,PHASE2,64,ACTUAL,RANDOMIZED,TRIPLE,TREATMENT,2015-10-12,2020-10-31,2020-10-31,2015-02-19,2023-06-08,"Mustafa Khasraw, MBChB, MD, FRCP, FRACP",,"Glioblastoma; Astrocytoma, Grade IV; Giant Cell Glioblastoma; Glioblastoma Multiforme",Unpulsed DCs; Td; Human CMV pp65-LAMP mRNA-pulsed autologous DCs; 111In-labeled DCs; Temozolomide; Saline; Basiliximab,Median Overall Survival; Percentage of 111In-labeled Dendritic Cells Migrating to the Inguinal Lymph Nodes; Median Overall Survival in CMV Positive Participants; Median Overall Survival in CMV Negative Participants,United States,
NCT02380443,AlloStim® Immunotherapy Dosing Alone or in Combination With Cryoablation in Metastatic Colorectal Cancer,COMPLETED,,PHASE2,13,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2016-09,2018-03,2018-09,2015-03-05,2025-05-16,"Mirror Biologics, Inc.",,Colorectal Cancer Metastatic,AlloStim; Cryoablation,Evaluate the Overall Survival,United States,
NCT02409524,An Individualized Anti-Cancer Vaccine in Advanced Hepatocellular Carcinoma Subjects,COMPLETED,,PHASE2,15,ACTUAL,NA,NONE,TREATMENT,2016-07,2017-06,2019-03,2015-04-07,2020-01-22,"Mirror Biologics, Inc.",,Advanced Adult Hepatocellular Carcinoma,AlloVax; AlloStim; CRCL,To evaluate survival compared to historical controls,Thailand,
NCT02410733,Evaluation of the Safety and Tolerability of i.v. Administration of a Cancer Vaccine in Patients With Advanced Melanoma,COMPLETED,,PHASE1,119,ACTUAL,NA,NONE,TREATMENT,2015-03,2023-06-20,2023-06-20,2015-04-08,2026-03-12,BioNTech SE,,Melanoma,Lipo-MERIT,Number of Adverse Events as a Measure of safety and tolerability,Germany,
NCT02465268,Vaccine Therapy for the Treatment of Newly Diagnosed Glioblastoma Multiforme,COMPLETED,,PHASE2,175,ACTUAL,RANDOMIZED,SINGLE,TREATMENT,2016-08-09,2023-11-30,2023-11-30,2015-06-08,2025-01-14,University of Florida,National Cancer Institute (NCI),"Glioblastoma Multiforme; Glioblastoma; Malignant Glioma; Astrocytoma, Grade IV; GBM",pp65-shLAMP DC with GM-CSF; unpulsed PBMC and saline; Td; Saline; pp65-flLAMP DC with GM-CSF,Comparison of Overall Survival (OS) Between the Active Treatment Group (Arms 1 and 2) and the Control Group (Arm 3),United States,
NCT02528682,MiHA-loaded PD-L-silenced DC Vaccination After Allogeneic SCT,COMPLETED,,"PHASE1,PHASE2",10,ACTUAL,NA,NONE,TREATMENT,2016-01,2021-03-31,2021-03-31,2015-08-19,2021-04-01,Radboud University Medical Center,ZonMw: The Netherlands Organisation for Health Research and Development; Dutch Cancer Society,Hematological Malignancies,MiHA-loaded PD-L-silenced DC Vaccination,Evaluation of toxicity; Development of GVHD; The generation and magnitude of an immunological response,Netherlands,
NCT02529072,Nivolumab With DC Vaccines for Recurrent Brain Tumors,COMPLETED,,PHASE1,6,ACTUAL,RANDOMIZED,NONE,TREATMENT,2016-01,2017-09-15,2019-12-30,2015-08-19,2020-03-26,Gary Archer Ph.D.,Bristol-Myers Squibb; Duke Cancer Institute,Malignant Glioma; Astrocytoma; Glioblastoma,nivolumab; DC,The Safety of Administering DC Vaccines With Nivolumab,United States,
NCT02576145,A Study to Assess Immune Response in Pediatric Kidney Transplant Recipients Treated With Daclizumab (Zenapax),COMPLETED,,PHASE4,11,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2003-04,2006-01,2006-01,2015-10-15,2016-01-13,Hoffmann-La Roche,,Kidney Transplantation,DT; Daclizumab; KLH,Number of Participants Who Developed a Positive Antibody Response (IgG) to Keyhole Limpet Hemocyanin (KLH) Immunization,United States,
NCT02649829,Autologous Dendritic Cell Vaccination in Mesothelioma,COMPLETED,,"PHASE1,PHASE2",28,ACTUAL,NA,NONE,TREATMENT,2017-10-03,2025-03-09,2025-03-09,2016-01-08,2025-04-29,"University Hospital, Antwerp",Kom Op Tegen Kanker; Stichting tegen Kanker,Malignant Pleural Mesothelioma,dendritic cell vaccination plus chemotherapy,Number of MPM patients with feasible and safe DC vaccine production; Number of patients receiving investigational DC vaccine administration combined with standard of care chemotherapy within the proposed time frame,Belgium,
NCT02692976,Natural Dendritic Cells for Immunotherapy of Chemo-naive Metastatic Castration-resistant Prostate Cancer Patients,COMPLETED,,PHASE2,21,ACTUAL,RANDOMIZED,NONE,TREATMENT,2015-09,2017-09,2019-03-06,2016-02-26,2019-11-14,Radboud University Medical Center,,Prostatic Neoplasms; Immunotherapy; Dendritic Cells; Vaccines,mDC vaccination; pDC vaccination; mDC and pDC vaccination,"The immunogenicity of tumor-peptide loaded natural blood dendritic cells (myeloid DC, plasmacytoid DC and the combination of mDC/pDC) in metastatic castration-resistant prostate cancer (mCRPC) patients; The immunogenicity of tumor-peptide loaded natural blood dendritic cells (myeloid DC, plasmacytoid DC and the combination of mDC/pDC) in metastatic castration-resistant prostate cancer (mCRPC) pati",Netherlands,
NCT02709616,Personalized Cellular Vaccine for Glioblastoma (PERCELLVAC),COMPLETED,,PHASE1,10,ACTUAL,NA,NONE,TREATMENT,2016-03-01,2017-10-31,2019-06-30,2016-03-16,2022-05-27,Guangdong 999 Brain Hospital,"Jinan University Guangzhou; Beijing Tricision Biotherapeutics Inc; Zhuhai Trinomab Pharmaceutical Co., Ltd.",Glioblastoma,Personalized cellular vaccine,Incidence of treatment-emergent adverse events and severe adverse events [safety and Tolerability],China,
NCT02721043,Safety and Immunogenicity of Personalized Genomic Vaccine to Treat Malignancies,COMPLETED,,PHASE1,13,ACTUAL,NA,NONE,TREATMENT,2016-04,2019-11-12,2020-06-08,2016-03-28,2021-01-11,Nina Bhardwaj,,Solid Tumors,Peptides; Poly-ICLC; Lenalidomide,Dose-limiting toxicities (DLT); Toxicity grading using CTCAE scale,United States,
NCT02802943,iVAC-CLL01: Patient-individualized Peptide Vaccination After First Line Therapy of CLL,COMPLETED,,PHASE2,56,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2016-10-05,2022-09-30,2022-11-18,2016-06-16,2022-11-28,University Hospital Tuebingen,Robert Bosch Gesellschaft für Medizinische Forschung mbH (RBMF); Klinikum Stuttgart; Marienhospital Stuttgart; Katharinenhospital Stuttgart,"Leukemia, Chronic Lymphatic",Peptide Vaccine; Imiquimod,Induction of peptide-specific T cell responses,Germany,
NCT02808364,Personalized Cellular Vaccine for Recurrent Glioblastoma (PERCELLVAC2),COMPLETED,,PHASE1,10,ACTUAL,NA,NONE,TREATMENT,2016-03-01,2017-10-31,2019-06-30,2016-06-21,2022-05-27,Guangdong 999 Brain Hospital,"Beijing Tricision Biotherapeutics Inc; Zhuhai Trinomab Pharmaceutical Co., Ltd.; Jinan University Guangzhou",Glioblastoma,Personalized cellular vaccine,Incidence of treatment-emergent adverse events and severe adverse events (safety and tolerability),China,
NCT02808416,Personalized Cellular Vaccine for Brain Metastases (PERCELLVAC3),COMPLETED,,PHASE1,10,ACTUAL,NA,NONE,TREATMENT,2016-03-01,2017-10-31,2019-06-30,2016-06-21,2022-05-27,Guangdong 999 Brain Hospital,"Beijing Tricision Biotherapeutics Inc; Zhuhai Trinomab Pharmaceutical Co., Ltd.; Jinan University Guangzhou",Brain Cancer; Neoplasm Metastases,Personalized cellular vaccine,Incidence of treatment-emergent adverse events and severe adverse events (safety and tolerability),China,
NCT02831634,A Feasibility Study to Identify T-cell Responses to Neo-epitopes in Tumor Invaded Lymph Nodes (NeoEpitope),COMPLETED,,NA,25,ACTUAL,NA,NONE,OTHER,2016-06-09,2018-03-01,2018-03-01,2016-07-13,2025-09-08,Institut Curie,"Genentech, Inc.",Breast Cancer; Cutaneous Melanoma,Blood sampling,Feasibility of a method allowing identification of tumor mutated epitopes in patients with breast cancer or cutaneous melanoma and quantification of CD8+ T cells specific for the tumor neo-antigens identified in the lymph nodes.,France,
NCT02897765,"A Personal Cancer Vaccine (NEO-PV-01) w/ Nivolumab for Patients With Melanoma, Lung Cancer or Bladder Cancer",COMPLETED,,PHASE1,34,ACTUAL,NA,NONE,TREATMENT,2016-10,2019-02,2020-05,2016-09-13,2021-02-25,BioNTech US Inc.,Bristol-Myers Squibb,"Urinary Bladder Cancer; Bladder Tumors; Transitional Cell Carcinoma of the Bladder; Malignant Melanoma; Melanoma; Skin Cancer; Carcinoma, Non-Small-Cell Lung; Lung Cancer",NEO-PV-01; Nivolumab; Adjuvant,Rate of adverse events including SAEs and AEs leading to treatment discontinuation; Rate of adverse events including SAEs and AEs leading to changes in safety laboratory evaluations; Rate of adverse events including SAEs and AEs leading to physical examination findings; Rate of adverse events including SAEs and AEs leading to vital signs findings; Rate of adverse events including SAEs and AEs lead,United States,
NCT02927301,A Study of Atezolizumab as Neoadjuvant and Adjuvant Therapy in Resectable Non-Small Cell Lung Cancer (NSCLC) - Lung Cancer Mutation Consortium (LCMC3),COMPLETED,,PHASE2,181,ACTUAL,NA,NONE,TREATMENT,2017-04-20,2020-05-07,2023-09-05,2016-10-07,2024-09-19,"Genentech, Inc.",,Non-Small Cell Lung Cancer,"Atezolizumab (MPDL3280A), an engineered anti-PD-L1 antibody",Percentage of Participants With Major Pathologic Response (MPR),United States,
NCT02959905,Treatment of Advanced Solid Tumors With TSA-CTL(Tumor Specific Antigen-Induced Cytotoxic T Lymphocytes),COMPLETED,,PHASE1,11,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2016-12-22,2020-09-01,2022-05-20,2016-11-09,2023-02-02,"BGI, China",Sun Yat-sen University,Solid Cancer,TSA-CTL; Cyclophosphamide; Fludarabine; Cyclophosphamide,Number of participants with adverse events as assessed by CTCAE v5.0.,China,
NCT02999646,Personalized and Cell-based Antitumor Immunization MVX-ONCO-1 in Advanced HNSCC,COMPLETED,,NA,16,ACTUAL,NA,NONE,TREATMENT,2018-07-25,2023-01-25,2023-06-29,2016-12-21,2023-09-28,Maxivax SA,European Commission,Head and Neck Squamous Cell Carcinoma,MVX-ONCO-1,Overall Survival at 26 weeks (OS),Switzerland,
NCT03003676,"A Pilot Study of Sequential ONCOS-102, an Engineered Oncolytic Adenovirus Expressing GMCSF, and Pembrolizumab in Patients With Advanced or Unresectable Melanoma Progressing After Programmed Cell Death Protein 1 (PD1) Blockade",COMPLETED,,PHASE1,21,ACTUAL,NA,NONE,TREATMENT,2016-12,2020-07,2020-10,2016-12-28,2021-11-08,Targovax Oy,,Advanced or Unresectable Melanoma Progressing After PD1 Blockade,ONCOS-102; Cyclophosphamide; Pembrolizumab,Incidence of Treatment-emergent Adverse Events Including Treatment-emergent Serious Adverse Events Assessed by Common Terminology Criteria for Adverse Events (CTCAE).,Norway; United States,
NCT03072147,Teriparatide as a Chondroregenerative Therapy in OA,COMPLETED,,PHASE2,76,ACTUAL,RANDOMIZED,QUADRUPLE,TREATMENT,2017-05-01,2022-09-30,2022-09-30,2017-03-07,2023-05-12,Christopher Ritchlin,Eli Lilly and Company; University of Rochester; Duke University; Milton S. Hershey Medical Center,Knee Osteoarthritis; Cartilage Degeneration,Teriparatide; Placebo,Knee MRI,United States,
NCT03082534,Pembrolizumab Combined With Cetuximab for Treatment of Recurrent/Metastatic Head & Neck Squamous Cell Carcinoma,COMPLETED,,PHASE2,78,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2017-03-28,2025-07-21,2025-09-11,2017-03-17,2026-01-28,"University of California, San Diego",Merck Sharp & Dohme LLC,HNSCC; Lip SCC; Oral Cavity Cancer; Oropharynx Cancer; Larynx Cancer; Hypopharynx Cancer; Nasopharynx Cancer; Sinonasal Carcinoma; Cutaneous Squamous Cell Carcinoma; Head and Neck Neoplasms; Head and Neck Cancer; Head and Neck Squamous Cell Carcinoma,"Pembrolizumab, Cetuximab",Overall Response Rate,United States,
NCT03136211,Complex Multiple Risk Behavior Intervention in People Between 45 to 75 Years (EIRA Study),COMPLETED,,NA,3062,ACTUAL,RANDOMIZED,NONE,HEALTH_SERVICES_RESEARCH,2017-01-15,2018-12-31,2018-12-31,2017-05-02,2020-07-07,Fundacio d'Investigacio en Atencio Primaria Jordi Gol i Gurina,"Instituto de Salud Carlos III; Department of Health, Generalitat de Catalunya; Parc Sanitari Sant Joan de Déu; Sanidad de Castilla y León; Servei de Salut de les Illes Balears; Institut Català de la Salut; Servicio Aragones De Salud; Osakidetza; Andaluz Health Service; Fundación Pública Andaluza para la Investigación de Málaga en Biomedicina y Salud; Servicio Gallego de Salud",Health Behavior; Health Promotion; Primary Health Care; Implementation Research; Smoking Cessation; Mediterranean Diet; Physical Activity,EIRA intervention,Effectiveness: Positive change in baseline eating behavior; Effectiveness: Positive change in baseline physical activity behavior; Effectiveness: Positive change in baseline smoking behavior; Implementation: adoption; Implementation: early acceptability; Implementation: final acceptability; Implementation: early appropriateness; Implementation: final appropriateness; Implementation: Cost of time i,Spain,
NCT03164772,Phase 1/2 Study of Combination Immunotherapy and Messenger Ribonucleic Acid (mRNA) Vaccine in Subjects With NSCLC,COMPLETED,,"PHASE1,PHASE2",61,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2017-12-20,2021-10-29,2021-10-29,2017-05-24,2022-10-10,Ludwig Institute for Cancer Research,"Cancer Research Institute, New York City; Boehringer Ingelheim; MedImmune LLC; CureVac; PharmaJet, Inc.",Metastatic Non-small Cell Lung Cancer; NSCLC,Durvalumab; Tremelimumab; BI 1361849; PharmaJet Tropis® device,Number of Subjects With Treatment-Emergent Adverse Events (TEAEs),United States,
NCT03289819,Neoadjuvant Pembrolizumab(Pbr)/Nab-Paclitaxel Followed by Pbr/Epirubicin/Cyclophosphamide in TNBC,COMPLETED,,PHASE2,53,ACTUAL,NA,NONE,TREATMENT,2018-03-23,2020-08-27,2021-01-22,2017-09-21,2021-04-08,Institut fuer Frauengesundheit,Merck Sharp & Dohme LLC; Celgene Corporation,Malignant Neoplasm of Breast,Pembrolizumab; nab-paclitaxel; Epirubicin; Cyclophosphamide,Pathological Complete Response (pCR) rate,Germany,
NCT03289962,A Study of Autogene Cevumeran (RO7198457) as a Single Agent and in Combination With Atezolizumab in Participants With Locally Advanced or Metastatic Tumors,COMPLETED,,PHASE1,273,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2017-12-21,2025-07-01,2025-07-01,2017-09-21,2026-06-08,"Genentech, Inc.",BioNTech SE,Melanoma; Non-Small Cell Lung Cancer; Bladder Cancer; Colorectal Cancer; Triple Negative Breast Cancer; Renal Cancer; Head and Neck Cancer; Other Solid Cancers,Autogene cevumeran; Atezolizumab,Percentage of Participants with Dose-Limiting Toxicities (DLTs); MTD/Recommended Phase 2 Dose (RP2D) of Autogene Cevumeran; Percentage of Participants with Adverse Events (AEs); Percentage of Participants with Immune-Mediated Adverse Events (imAEs); Percentage of Participants by Number of Treatment Cycles Received; Dose Intensity of Autogene Cevumeran; Change from Baseline in Targeted Vital Signs;,Belgium; Canada; Germany; Netherlands; Spain; Sweden; United Kingdom; United States,
NCT03357757,Avelumab With Valproic Acid in Virus-associated Cancer,COMPLETED,,PHASE2,39,ACTUAL,NA,NONE,TREATMENT,2018-02-07,2022-03-30,2025-03-31,2017-11-30,2025-06-26,AHS Cancer Control Alberta,EMD Serono,Cancer That is Associated With a Chronic Viral Infection; p16 Positive SCCHN; Squamous Cell Carcinoma of the Cervix; p16 Positive Squamous Cell Carcinoma of the Vagina or Vulva; p16 Positive Squamous Cell Carcinoma of the Penis; p16 Positive Squamous Cell Carcinoma of the Anus or Anal Canal; EBER Positive NPC; EBER Positive Hodgkins and Non-hodgkins Lymphona,Valproic Acid; Avelumab,Efficacy of Avelumab and VPA; Proportion of subjects who complete 4 doses of Avelumab in combination with VPA,Canada,
NCT03359239,Atezolizumab Given in Combination With a Personalized Vaccine in Patients With Urothelial Cancer,COMPLETED,,PHASE1,10,ACTUAL,NA,NONE,TREATMENT,2019-05-08,2021-10-12,2021-10-12,2017-12-02,2023-05-16,Matthew Galsky,"Genentech, Inc.","Urothelial/Bladder Cancer, Nos",Atezolizumab; PGV001; Poly ICLC; Normal saline,Number of neoantigens; Number of peptides synthesized; Vaccine Production time; Proportion of consent to tissue acquisition phase; Proportion of subjects eligible for the treatment phase; Number of toxicities,United States,
NCT03380871,A Personal Cancer Vaccine (NEO-PV-01) With Pembrolizumab and Chemotherapy for Patients With Lung Cancer,COMPLETED,,PHASE1,38,ACTUAL,NA,NONE,TREATMENT,2018-05-04,2019-10-31,2021-02-05,2017-12-21,2021-02-26,BioNTech US Inc.,Merck Sharp & Dohme LLC,"Carcinoma, Non-Small-Cell Lung; Lung Cancer; Nonsquamous Nonsmall Cell Neoplasm of Lung",NEO-PV-01; Pembrolizumab; Adjuvant; Carboplatin; Pemetrexed,The rate of adverse events and severe adverse events leading to treatment discontinuation,United States,
NCT03409198,Phase IIb Study Evaluating Immunogenic Chemotherapy Combined With Ipilimumab and Nivolumab in Breast Cancer,COMPLETED,,PHASE2,82,ACTUAL,RANDOMIZED,NONE,TREATMENT,2018-01-21,2022-05-11,2022-05-11,2018-01-24,2024-10-15,Oslo University Hospital,Bristol-Myers Squibb; Helse Stavanger HF; Helse Sor-Ost; Sorlandet Hospital HF; Jules Bordet Institute; Cliniques universitaires Saint-Luc- Université Catholique de Louvain; Centre Hospitalier Universitaire UCLouvain Namur,Breast Cancer; Hormone Receptor Positive Tumor; Metastatic Breast Cancer,Ipilimumab; Nivolumab; Pegylated liposomal doxorubicin; Cyclophosphamide,Toxicity: CTCAE v4.0; Progression-free survival (PFS),Belgium; Norway,
NCT03418480,HARE-40: HPV Anti-CD40 RNA vaccinE,COMPLETED,,"PHASE1,PHASE2",32,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2017-04-11,2023-11-01,2024-01-24,2018-02-01,2024-02-07,University of Southampton,BioNTech SE,Human Papilloma Virus Related Carcinoma; Head and Neck Neoplasm; Cervical Neoplasm; Penile Neoplasms Malignant; Unknown Primary Tumors,BNT113,Dose Limiting Toxicity (DLT) according to CTCAE version 4.03 (Arm 1A),United Kingdom,
NCT03517917,Prospective Tissue Collection Research Protocol,COMPLETED,,,221,ACTUAL,,,,2018-02-08,2024-10-08,2024-10-08,2018-05-08,2025-05-23,AstraZeneca,,Solid Tumor,Tumour tissue collection,Obtaining samples for research,Spain; United Kingdom; United States,
NCT03532217,Neoantigen DNA Vaccine in Combination With Nivolumab/Ipilimumab and PROSTVAC in Metastatic Hormone-Sensitive Prostate Cancer,COMPLETED,,PHASE1,19,ACTUAL,NA,NONE,TREATMENT,2018-09-14,2022-04-01,2022-07-25,2018-05-22,2022-08-05,Washington University School of Medicine,Bristol-Myers Squibb; Prostate Cancer Foundation; The Foundation for Barnes-Jewish Hospital; Bavarian Nordic,Metastatic Hormone-Sensitive Prostate Cancer,PROSTVAC-V; PROSTVAC-F; Nivolumab; Ipilimumab; Neoantigen DNA vaccine; TriGrid Delivery System; Tumor biopsy; Peripheral blood; Fecal samples; Leukapheresis,Safety and tolerability of regimen as defined by incidence of adverse events; Immune response as measured by tetramers; Immune response as measured by genomic studies; Immune response as measured by flow cytometry; Safety and tolerability of regimen as defined by incidence of dose-limiting toxicities (DLTs),United States,
NCT03548467,A Study to Evaluate Safety and Efficacy of Multiple Dosing With VB10.NEO and Bempegaldesleukin (NKTR-214) Immunotherapy in Patients With Locally Advanced or Metastatic Cancer,COMPLETED,,"PHASE1,PHASE2",41,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2018-04-04,2023-01-30,2023-01-30,2018-06-07,2023-04-21,Nykode Therapeutics ASA,Nektar Therapeutics; Vaccibody AS,Locally Advanced or Metastatic Solid Tumours,VB10.NEO; Bempegaldesleukin,Rate of Adverse Events including SAEs (Safety/tolerability) of VB10.NEO and the combination of VB10.NEO and bempegaldesleukin (NKTR-214),Germany,
NCT03552718,QUILT-2.025 NANT Neoepitope Yeast Vaccine (YE-NEO-001): Adjuvant Immunotherapy Using a Personalized Neoepitope Yeast-Based Vaccine To Induce T-Cell Responses In Subjects W/ Previously Treated Cancers.,COMPLETED,,PHASE1,5,ACTUAL,NA,NONE,TREATMENT,2018-08-10,2025-03-18,2025-03-18,2018-06-12,2026-05-07,"NantBioScience, Inc.",,Colorectal Cancer; Breast Cancer; Head and Neck Squamous Cell Carcinoma; Melanoma; Non Small Cell Lung Cancer; Pancreatic Cancer; Liver Cancer,YE-NEO-001,Incidence of treatment-emergent adverse events; Recommended Phase 2 Dose,United States,
